,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Argentina,Buenos Aires,,1978-01-15,Argentine Grand Prix,conventional,Practice 1,1978-01-13,Practice 2,1978-01-13,Practice 3,1978-01-14,Qualifying,1978-01-14,Race,1978-01-15,False,1978
1,2,Brazil,Rio de Janeiro,,1978-01-29,Brazilian Grand Prix,conventional,Practice 1,1978-01-27,Practice 2,1978-01-27,Practice 3,1978-01-28,Qualifying,1978-01-28,Race,1978-01-29,False,1978
2,3,South Africa,Midrand,,1978-03-04,South African Grand Prix,conventional,Practice 1,1978-03-02,Practice 2,1978-03-02,Practice 3,1978-03-03,Qualifying,1978-03-03,Race,1978-03-04,False,1978
3,4,USA,California,,1978-04-02,United States Grand Prix West,conventional,Practice 1,1978-03-31,Practice 2,1978-03-31,Practice 3,1978-04-01,Qualifying,1978-04-01,Race,1978-04-02,False,1978
4,5,Monaco,Monte-Carlo,,1978-05-07,Monaco Grand Prix,conventional,Practice 1,1978-05-05,Practice 2,1978-05-05,Practice 3,1978-05-06,Qualifying,1978-05-06,Race,1978-05-07,False,1978
5,6,Belgium,Heusden-Zolder,,1978-05-21,Belgian Grand Prix,conventional,Practice 1,1978-05-19,Practice 2,1978-05-19,Practice 3,1978-05-20,Qualifying,1978-05-20,Race,1978-05-21,False,1978
6,7,Spain,Madrid,,1978-06-04,Spanish Grand Prix,conventional,Practice 1,1978-06-02,Practice 2,1978-06-02,Practice 3,1978-06-03,Qualifying,1978-06-03,Race,1978-06-04,False,1978
7,8,Sweden,Anderstorp,,1978-06-17,Swedish Grand Prix,conventional,Practice 1,1978-06-15,Practice 2,1978-06-15,Practice 3,1978-06-16,Qualifying,1978-06-16,Race,1978-06-17,False,1978
8,9,France,Le Castellet,,1978-07-02,French Grand Prix,conventional,Practice 1,1978-06-30,Practice 2,1978-06-30,Practice 3,1978-07-01,Qualifying,1978-07-01,Race,1978-07-02,False,1978
9,10,UK,Kent,,1978-07-16,British Grand Prix,conventional,Practice 1,1978-07-14,Practice 2,1978-07-14,Practice 3,1978-07-15,Qualifying,1978-07-15,Race,1978-07-16,False,1978
10,11,Germany,Hockenheim,,1978-07-30,German Grand Prix,conventional,Practice 1,1978-07-28,Practice 2,1978-07-28,Practice 3,1978-07-29,Qualifying,1978-07-29,Race,1978-07-30,False,1978
11,12,Austria,Spielberg,,1978-08-13,Austrian Grand Prix,conventional,Practice 1,1978-08-11,Practice 2,1978-08-11,Practice 3,1978-08-12,Qualifying,1978-08-12,Race,1978-08-13,False,1978
12,13,Netherlands,Zandvoort,,1978-08-27,Dutch Grand Prix,conventional,Practice 1,1978-08-25,Practice 2,1978-08-25,Practice 3,1978-08-26,Qualifying,1978-08-26,Race,1978-08-27,False,1978
13,14,Italy,Monza,,1978-09-10,Italian Grand Prix,conventional,Practice 1,1978-09-08,Practice 2,1978-09-08,Practice 3,1978-09-09,Qualifying,1978-09-09,Race,1978-09-10,False,1978
14,15,USA,New York State,,1978-10-01,United States Grand Prix,conventional,Practice 1,1978-09-29,Practice 2,1978-09-29,Practice 3,1978-09-30,Qualifying,1978-09-30,Race,1978-10-01,False,1978
15,16,Canada,Montreal,,1978-10-08,Canadian Grand Prix,conventional,Practice 1,1978-10-06,Practice 2,1978-10-06,Practice 3,1978-10-07,Qualifying,1978-10-07,Race,1978-10-08,False,1978
