,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,1998-03-08,Australian Grand Prix,conventional,Practice 1,1998-03-06,Practice 2,1998-03-06,Practice 3,1998-03-07,Qualifying,1998-03-07,Race,1998-03-08,False,1998
1,2,Brazil,São Paulo,,1998-03-29,Brazilian Grand Prix,conventional,Practice 1,1998-03-27,Practice 2,1998-03-27,Practice 3,1998-03-28,Qualifying,1998-03-28,Race,1998-03-29,False,1998
2,3,Argentina,Buenos Aires,,1998-04-12,Argentine Grand Prix,conventional,Practice 1,1998-04-10,Practice 2,1998-04-10,Practice 3,1998-04-11,Qualifying,1998-04-11,Race,1998-04-12,False,1998
3,4,Italy,Imola,,1998-04-26,San Marino Grand Prix,conventional,Practice 1,1998-04-24,Practice 2,1998-04-24,Practice 3,1998-04-25,Qualifying,1998-04-25,Race,1998-04-26,False,1998
4,5,Spain,Montmeló,,1998-05-10,Spanish Grand Prix,conventional,Practice 1,1998-05-08,Practice 2,1998-05-08,Practice 3,1998-05-09,Qualifying,1998-05-09,Race,1998-05-10,False,1998
5,6,Monaco,Monte-Carlo,,1998-05-24,Monaco Grand Prix,conventional,Practice 1,1998-05-22,Practice 2,1998-05-22,Practice 3,1998-05-23,Qualifying,1998-05-23,Race,1998-05-24,False,1998
6,7,Canada,Montreal,,1998-06-07,Canadian Grand Prix,conventional,Practice 1,1998-06-05,Practice 2,1998-06-05,Practice 3,1998-06-06,Qualifying,1998-06-06,Race,1998-06-07,False,1998
7,8,France,Magny Cours,,1998-06-28,French Grand Prix,conventional,Practice 1,1998-06-26,Practice 2,1998-06-26,Practice 3,1998-06-27,Qualifying,1998-06-27,Race,1998-06-28,False,1998
8,9,UK,Silverstone,,1998-07-12,British Grand Prix,conventional,Practice 1,1998-07-10,Practice 2,1998-07-10,Practice 3,1998-07-11,Qualifying,1998-07-11,Race,1998-07-12,False,1998
9,10,Austria,Spielberg,,1998-07-26,Austrian Grand Prix,conventional,Practice 1,1998-07-24,Practice 2,1998-07-24,Practice 3,1998-07-25,Qualifying,1998-07-25,Race,1998-07-26,False,1998
10,11,Germany,Hockenheim,,1998-08-02,German Grand Prix,conventional,Practice 1,1998-07-31,Practice 2,1998-07-31,Practice 3,1998-08-01,Qualifying,1998-08-01,Race,1998-08-02,False,1998
11,12,Hungary,Budapest,,1998-08-16,Hungarian Grand Prix,conventional,Practice 1,1998-08-14,Practice 2,1998-08-14,Practice 3,1998-08-15,Qualifying,1998-08-15,Race,1998-08-16,False,1998
12,13,Belgium,Spa,,1998-08-30,Belgian Grand Prix,conventional,Practice 1,1998-08-28,Practice 2,1998-08-28,Practice 3,1998-08-29,Qualifying,1998-08-29,Race,1998-08-30,False,1998
13,14,Italy,Monza,,1998-09-13,Italian Grand Prix,conventional,Practice 1,1998-09-11,Practice 2,1998-09-11,Practice 3,1998-09-12,Qualifying,1998-09-12,Race,1998-09-13,False,1998
14,15,Germany,Nürburg,,1998-09-27,Luxembourg Grand Prix,conventional,Practice 1,1998-09-25,Practice 2,1998-09-25,Practice 3,1998-09-26,Qualifying,1998-09-26,Race,1998-09-27,False,1998
15,16,Japan,Suzuka,,1998-11-01,Japanese Grand Prix,conventional,Practice 1,1998-10-30,Practice 2,1998-10-30,Practice 3,1998-10-31,Qualifying,1998-10-31,Race,1998-11-01,False,1998
