,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Brazil,São Paulo,,1976-01-25,Brazilian Grand Prix,conventional,Practice 1,1976-01-23,Practice 2,1976-01-23,Practice 3,1976-01-24,Qualifying,1976-01-24,Race,1976-01-25,False,1976
1,2,South Africa,Midrand,,1976-03-06,South African Grand Prix,conventional,Practice 1,1976-03-04,Practice 2,1976-03-04,Practice 3,1976-03-05,Qualifying,1976-03-05,Race,1976-03-06,False,1976
2,3,USA,California,,1976-03-28,United States Grand Prix West,conventional,Practice 1,1976-03-26,Practice 2,1976-03-26,Practice 3,1976-03-27,Qualifying,1976-03-27,Race,1976-03-28,False,1976
3,4,Spain,Madrid,,1976-05-02,Spanish Grand Prix,conventional,Practice 1,1976-04-30,Practice 2,1976-04-30,Practice 3,1976-05-01,Qualifying,1976-05-01,Race,1976-05-02,False,1976
4,5,Belgium,Heusden-Zolder,,1976-05-16,Belgian Grand Prix,conventional,Practice 1,1976-05-14,Practice 2,1976-05-14,Practice 3,1976-05-15,Qualifying,1976-05-15,Race,1976-05-16,False,1976
5,6,Monaco,Monte-Carlo,,1976-05-30,Monaco Grand Prix,conventional,Practice 1,1976-05-28,Practice 2,1976-05-28,Practice 3,1976-05-29,Qualifying,1976-05-29,Race,1976-05-30,False,1976
6,7,Sweden,Anderstorp,,1976-06-13,Swedish Grand Prix,conventional,Practice 1,1976-06-11,Practice 2,1976-06-11,Practice 3,1976-06-12,Qualifying,1976-06-12,Race,1976-06-13,False,1976
7,8,France,Le Castellet,,1976-07-04,French Grand Prix,conventional,Practice 1,1976-07-02,Practice 2,1976-07-02,Practice 3,1976-07-03,Qualifying,1976-07-03,Race,1976-07-04,False,1976
8,9,UK,Kent,,1976-07-18,British Grand Prix,conventional,Practice 1,1976-07-16,Practice 2,1976-07-16,Practice 3,1976-07-17,Qualifying,1976-07-17,Race,1976-07-18,False,1976
9,10,Germany,Nürburg,,1976-08-01,German Grand Prix,conventional,Practice 1,1976-07-30,Practice 2,1976-07-30,Practice 3,1976-07-31,Qualifying,1976-07-31,Race,1976-08-01,False,1976
10,11,Austria,Spielberg,,1976-08-15,Austrian Grand Prix,conventional,Practice 1,1976-08-13,Practice 2,1976-08-13,Practice 3,1976-08-14,Qualifying,1976-08-14,Race,1976-08-15,False,1976
11,12,Netherlands,Zandvoort,,1976-08-29,Dutch Grand Prix,conventional,Practice 1,1976-08-27,Practice 2,1976-08-27,Practice 3,1976-08-28,Qualifying,1976-08-28,Race,1976-08-29,False,1976
12,13,Italy,Monza,,1976-09-12,Italian Grand Prix,conventional,Practice 1,1976-09-10,Practice 2,1976-09-10,Practice 3,1976-09-11,Qualifying,1976-09-11,Race,1976-09-12,False,1976
13,14,Canada,Ontario,,1976-10-03,Canadian Grand Prix,conventional,Practice 1,1976-10-01,Practice 2,1976-10-01,Practice 3,1976-10-02,Qualifying,1976-10-02,Race,1976-10-03,False,1976
14,15,USA,New York State,,1976-10-10,United States Grand Prix,conventional,Practice 1,1976-10-08,Practice 2,1976-10-08,Practice 3,1976-10-09,Qualifying,1976-10-09,Race,1976-10-10,False,1976
15,16,Japan,Oyama,,1976-10-24,Japanese Grand Prix,conventional,Practice 1,1976-10-22,Practice 2,1976-10-22,Practice 3,1976-10-23,Qualifying,1976-10-23,Race,1976-10-24,False,1976
