,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,1999-03-07,Australian Grand Prix,conventional,Practice 1,1999-03-05,Practice 2,1999-03-05,Practice 3,1999-03-06,Qualifying,1999-03-06,Race,1999-03-07,False,1999
1,2,Brazil,São Paulo,,1999-04-11,Brazilian Grand Prix,conventional,Practice 1,1999-04-09,Practice 2,1999-04-09,Practice 3,1999-04-10,Qualifying,1999-04-10,Race,1999-04-11,False,1999
2,3,Italy,Imola,,1999-05-02,San Marino Grand Prix,conventional,Practice 1,1999-04-30,Practice 2,1999-04-30,Practice 3,1999-05-01,Qualifying,1999-05-01,Race,1999-05-02,False,1999
3,4,Monaco,Monte-Carlo,,1999-05-16,Monaco Grand Prix,conventional,Practice 1,1999-05-14,Practice 2,1999-05-14,Practice 3,1999-05-15,Qualifying,1999-05-15,Race,1999-05-16,False,1999
4,5,Spain,Montmeló,,1999-05-30,Spanish Grand Prix,conventional,Practice 1,1999-05-28,Practice 2,1999-05-28,Practice 3,1999-05-29,Qualifying,1999-05-29,Race,1999-05-30,False,1999
5,6,Canada,Montreal,,1999-06-13,Canadian Grand Prix,conventional,Practice 1,1999-06-11,Practice 2,1999-06-11,Practice 3,1999-06-12,Qualifying,1999-06-12,Race,1999-06-13,False,1999
6,7,France,Magny Cours,,1999-06-27,French Grand Prix,conventional,Practice 1,1999-06-25,Practice 2,1999-06-25,Practice 3,1999-06-26,Qualifying,1999-06-26,Race,1999-06-27,False,1999
7,8,UK,Silverstone,,1999-07-11,British Grand Prix,conventional,Practice 1,1999-07-09,Practice 2,1999-07-09,Practice 3,1999-07-10,Qualifying,1999-07-10,Race,1999-07-11,False,1999
8,9,Austria,Spielberg,,1999-07-25,Austrian Grand Prix,conventional,Practice 1,1999-07-23,Practice 2,1999-07-23,Practice 3,1999-07-24,Qualifying,1999-07-24,Race,1999-07-25,False,1999
9,10,Germany,Hockenheim,,1999-08-01,German Grand Prix,conventional,Practice 1,1999-07-30,Practice 2,1999-07-30,Practice 3,1999-07-31,Qualifying,1999-07-31,Race,1999-08-01,False,1999
10,11,Hungary,Budapest,,1999-08-15,Hungarian Grand Prix,conventional,Practice 1,1999-08-13,Practice 2,1999-08-13,Practice 3,1999-08-14,Qualifying,1999-08-14,Race,1999-08-15,False,1999
11,12,Belgium,Spa,,1999-08-29,Belgian Grand Prix,conventional,Practice 1,1999-08-27,Practice 2,1999-08-27,Practice 3,1999-08-28,Qualifying,1999-08-28,Race,1999-08-29,False,1999
12,13,Italy,Monza,,1999-09-12,Italian Grand Prix,conventional,Practice 1,1999-09-10,Practice 2,1999-09-10,Practice 3,1999-09-11,Qualifying,1999-09-11,Race,1999-09-12,False,1999
13,14,Germany,Nürburg,,1999-09-26,European Grand Prix,conventional,Practice 1,1999-09-24,Practice 2,1999-09-24,Practice 3,1999-09-25,Qualifying,1999-09-25,Race,1999-09-26,False,1999
14,15,Malaysia,Kuala Lumpur,,1999-10-17,Malaysian Grand Prix,conventional,Practice 1,1999-10-15,Practice 2,1999-10-15,Practice 3,1999-10-16,Qualifying,1999-10-16,Race,1999-10-17,False,1999
15,16,Japan,Suzuka,,1999-10-31,Japanese Grand Prix,conventional,Practice 1,1999-10-29,Practice 2,1999-10-29,Practice 3,1999-10-30,Qualifying,1999-10-30,Race,1999-10-31,False,1999
