,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Argentina,Buenos Aires,,1960-02-07,Argentine Grand Prix,conventional,Practice 1,1960-02-05,Practice 2,1960-02-05,Practice 3,1960-02-06,Qualifying,1960-02-06,Race,1960-02-07,False,1960
1,2,Monaco,Monte-Carlo,,1960-05-29,Monaco Grand Prix,conventional,Practice 1,1960-05-27,Practice 2,1960-05-27,Practice 3,1960-05-28,Qualifying,1960-05-28,Race,1960-05-29,False,1960
2,3,USA,Indianapolis,,1960-05-30,Indianapolis 500,conventional,Practice 1,1960-05-28,Practice 2,1960-05-28,Practice 3,1960-05-29,Qualifying,1960-05-29,Race,1960-05-30,False,1960
3,4,Netherlands,Zandvoort,,1960-06-06,Dutch Grand Prix,conventional,Practice 1,1960-06-04,Practice 2,1960-06-04,Practice 3,1960-06-05,Qualifying,1960-06-05,Race,1960-06-06,False,1960
4,5,Belgium,Spa,,1960-06-19,Belgian Grand Prix,conventional,Practice 1,1960-06-17,Practice 2,1960-06-17,Practice 3,1960-06-18,Qualifying,1960-06-18,Race,1960-06-19,False,1960
5,6,France,Reims,,1960-07-03,French Grand Prix,conventional,Practice 1,1960-07-01,Practice 2,1960-07-01,Practice 3,1960-07-02,Qualifying,1960-07-02,Race,1960-07-03,False,1960
6,7,UK,Silverstone,,1960-07-16,British Grand Prix,conventional,Practice 1,1960-07-14,Practice 2,1960-07-14,Practice 3,1960-07-15,Qualifying,1960-07-15,Race,1960-07-16,False,1960
7,8,Portugal,Oporto,,1960-08-14,Portuguese Grand Prix,conventional,Practice 1,1960-08-12,Practice 2,1960-08-12,Practice 3,1960-08-13,Qualifying,1960-08-13,Race,1960-08-14,False,1960
8,9,Italy,Monza,,1960-09-04,Italian Grand Prix,conventional,Practice 1,1960-09-02,Practice 2,1960-09-02,Practice 3,1960-09-03,Qualifying,1960-09-03,Race,1960-09-04,False,1960
9,10,USA,California,,1960-11-20,United States Grand Prix,conventional,Practice 1,1960-11-18,Practice 2,1960-11-18,Practice 3,1960-11-19,Qualifying,1960-11-19,Race,1960-11-20,False,1960
