,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,2004-03-07,Australian Grand Prix,conventional,Practice 1,2004-03-05,Practice 2,2004-03-05,Practice 3,2004-03-06,Qualifying,2004-03-06,Race,2004-03-07,False,2004
1,2,Malaysia,Kuala Lumpur,,2004-03-21,Malaysian Grand Prix,conventional,Practice 1,2004-03-19,Practice 2,2004-03-19,Practice 3,2004-03-20,Qualifying,2004-03-20,Race,2004-03-21,False,2004
2,3,Bahrain,Sakhir,,2004-04-04,Bahrain Grand Prix,conventional,Practice 1,2004-04-02,Practice 2,2004-04-02,Practice 3,2004-04-03,Qualifying,2004-04-03,Race,2004-04-04,False,2004
3,4,Italy,Imola,,2004-04-25,San Marino Grand Prix,conventional,Practice 1,2004-04-23,Practice 2,2004-04-23,Practice 3,2004-04-24,Qualifying,2004-04-24,Race,2004-04-25,False,2004
4,5,Spain,Montmeló,,2004-05-09,Spanish Grand Prix,conventional,Practice 1,2004-05-07,Practice 2,2004-05-07,Practice 3,2004-05-08,Qualifying,2004-05-08,Race,2004-05-09,False,2004
5,6,Monaco,Monte-Carlo,,2004-05-23,Monaco Grand Prix,conventional,Practice 1,2004-05-21,Practice 2,2004-05-21,Practice 3,2004-05-22,Qualifying,2004-05-22,Race,2004-05-23,False,2004
6,7,Germany,Nürburg,,2004-05-30,European Grand Prix,conventional,Practice 1,2004-05-28,Practice 2,2004-05-28,Practice 3,2004-05-29,Qualifying,2004-05-29,Race,2004-05-30,False,2004
7,8,Canada,Montreal,,2004-06-13,Canadian Grand Prix,conventional,Practice 1,2004-06-11,Practice 2,2004-06-11,Practice 3,2004-06-12,Qualifying,2004-06-12,Race,2004-06-13,False,2004
8,9,USA,Indianapolis,,2004-06-20,United States Grand Prix,conventional,Practice 1,2004-06-18,Practice 2,2004-06-18,Practice 3,2004-06-19,Qualifying,2004-06-19,Race,2004-06-20,False,2004
9,10,France,Magny Cours,,2004-07-04,French Grand Prix,conventional,Practice 1,2004-07-02,Practice 2,2004-07-02,Practice 3,2004-07-03,Qualifying,2004-07-03,Race,2004-07-04,False,2004
10,11,UK,Silverstone,,2004-07-11,British Grand Prix,conventional,Practice 1,2004-07-09,Practice 2,2004-07-09,Practice 3,2004-07-10,Qualifying,2004-07-10,Race,2004-07-11,False,2004
11,12,Germany,Hockenheim,,2004-07-25,German Grand Prix,conventional,Practice 1,2004-07-23,Practice 2,2004-07-23,Practice 3,2004-07-24,Qualifying,2004-07-24,Race,2004-07-25,False,2004
12,13,Hungary,Budapest,,2004-08-15,Hungarian Grand Prix,conventional,Practice 1,2004-08-13,Practice 2,2004-08-13,Practice 3,2004-08-14,Qualifying,2004-08-14,Race,2004-08-15,False,2004
13,14,Belgium,Spa,,2004-08-29,Belgian Grand Prix,conventional,Practice 1,2004-08-27,Practice 2,2004-08-27,Practice 3,2004-08-28,Qualifying,2004-08-28,Race,2004-08-29,False,2004
14,15,Italy,Monza,,2004-09-12,Italian Grand Prix,conventional,Practice 1,2004-09-10,Practice 2,2004-09-10,Practice 3,2004-09-11,Qualifying,2004-09-11,Race,2004-09-12,False,2004
15,16,China,Shanghai,,2004-09-26,Chinese Grand Prix,conventional,Practice 1,2004-09-24,Practice 2,2004-09-24,Practice 3,2004-09-25,Qualifying,2004-09-25,Race,2004-09-26,False,2004
16,17,Japan,Suzuka,,2004-10-10,Japanese Grand Prix,conventional,Practice 1,2004-10-08,Practice 2,2004-10-08,Practice 3,2004-10-09,Qualifying,2004-10-09,Race,2004-10-10,False,2004
17,18,Brazil,São Paulo,,2004-10-24,Brazilian Grand Prix,conventional,Practice 1,2004-10-22,Practice 2,2004-10-22,Practice 3,2004-10-23,Qualifying,2004-10-23,Race,2004-10-24,False,2004
