,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,South Africa,Midrand,,1970-03-07,South African Grand Prix,conventional,Practice 1,1970-03-05,Practice 2,1970-03-05,Practice 3,1970-03-06,Qualifying,1970-03-06,Race,1970-03-07,False,1970
1,2,Spain,Madrid,,1970-04-19,Spanish Grand Prix,conventional,Practice 1,1970-04-17,Practice 2,1970-04-17,Practice 3,1970-04-18,Qualifying,1970-04-18,Race,1970-04-19,False,1970
2,3,Monaco,Monte-Carlo,,1970-05-10,Monaco Grand Prix,conventional,Practice 1,1970-05-08,Practice 2,1970-05-08,Practice 3,1970-05-09,Qualifying,1970-05-09,Race,1970-05-10,False,1970
3,4,Belgium,Spa,,1970-06-07,Belgian Grand Prix,conventional,Practice 1,1970-06-05,Practice 2,1970-06-05,Practice 3,1970-06-06,Qualifying,1970-06-06,Race,1970-06-07,False,1970
4,5,Netherlands,Zandvoort,,1970-06-21,Dutch Grand Prix,conventional,Practice 1,1970-06-19,Practice 2,1970-06-19,Practice 3,1970-06-20,Qualifying,1970-06-20,Race,1970-06-21,False,1970
5,6,France,Clermont-Ferrand,,1970-07-05,French Grand Prix,conventional,Practice 1,1970-07-03,Practice 2,1970-07-03,Practice 3,1970-07-04,Qualifying,1970-07-04,Race,1970-07-05,False,1970
6,7,UK,Kent,,1970-07-18,British Grand Prix,conventional,Practice 1,1970-07-16,Practice 2,1970-07-16,Practice 3,1970-07-17,Qualifying,1970-07-17,Race,1970-07-18,False,1970
7,8,Germany,Hockenheim,,1970-08-02,German Grand Prix,conventional,Practice 1,1970-07-31,Practice 2,1970-07-31,Practice 3,1970-08-01,Qualifying,1970-08-01,Race,1970-08-02,False,1970
8,9,Austria,Spielberg,,1970-08-16,Austrian Grand Prix,conventional,Practice 1,1970-08-14,Practice 2,1970-08-14,Practice 3,1970-08-15,Qualifying,1970-08-15,Race,1970-08-16,False,1970
9,10,Italy,Monza,,1970-09-06,Italian Grand Prix,conventional,Practice 1,1970-09-04,Practice 2,1970-09-04,Practice 3,1970-09-05,Qualifying,1970-09-05,Race,1970-09-06,False,1970
10,11,Canada,Quebec,,1970-09-20,Canadian Grand Prix,conventional,Practice 1,1970-09-18,Practice 2,1970-09-18,Practice 3,1970-09-19,Qualifying,1970-09-19,Race,1970-09-20,False,1970
11,12,USA,New York State,,1970-10-04,United States Grand Prix,conventional,Practice 1,1970-10-02,Practice 2,1970-10-02,Practice 3,1970-10-03,Qualifying,1970-10-03,Race,1970-10-04,False,1970
12,13,Mexico,Mexico City,,1970-10-25,Mexican Grand Prix,conventional,Practice 1,1970-10-23,Practice 2,1970-10-23,Practice 3,1970-10-24,Qualifying,1970-10-24,Race,1970-10-25,False,1970
