,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,2017-03-26 05:00:00,Australian Grand Prix,conventional,Practice 1,2017-03-24,Practice 2,2017-03-24,Practice 3,2017-03-25,Qualifying,2017-03-25,Race,2017-03-26 05:00:00,False,2017
1,2,China,Shanghai,,2017-04-09 06:00:00,Chinese Grand Prix,conventional,Practice 1,2017-04-07,Practice 2,2017-04-07,Practice 3,2017-04-08,Qualifying,2017-04-08,Race,2017-04-09 06:00:00,False,2017
2,3,Bahrain,Sakhir,,2017-04-16 15:00:00,Bahrain Grand Prix,conventional,Practice 1,2017-04-14,Practice 2,2017-04-14,Practice 3,2017-04-15,Qualifying,2017-04-15,Race,2017-04-16 15:00:00,False,2017
3,4,Russia,Sochi,,2017-04-30 12:00:00,Russian Grand Prix,conventional,Practice 1,2017-04-28,Practice 2,2017-04-28,Practice 3,2017-04-29,Qualifying,2017-04-29,Race,2017-04-30 12:00:00,False,2017
4,5,Spain,Montmeló,,2017-05-14 12:00:00,Spanish Grand Prix,conventional,Practice 1,2017-05-12,Practice 2,2017-05-12,Practice 3,2017-05-13,Qualifying,2017-05-13,Race,2017-05-14 12:00:00,False,2017
5,6,Monaco,Monte-Carlo,,2017-05-28 12:00:00,Monaco Grand Prix,conventional,Practice 1,2017-05-26,Practice 2,2017-05-26,Practice 3,2017-05-27,Qualifying,2017-05-27,Race,2017-05-28 12:00:00,False,2017
6,7,Canada,Montreal,,2017-06-11 18:00:00,Canadian Grand Prix,conventional,Practice 1,2017-06-09,Practice 2,2017-06-09,Practice 3,2017-06-10,Qualifying,2017-06-10,Race,2017-06-11 18:00:00,False,2017
7,8,Azerbaijan,Baku,,2017-06-25 13:00:00,Azerbaijan Grand Prix,conventional,Practice 1,2017-06-23,Practice 2,2017-06-23,Practice 3,2017-06-24,Qualifying,2017-06-24,Race,2017-06-25 13:00:00,False,2017
8,9,Austria,Spielberg,,2017-07-09 12:00:00,Austrian Grand Prix,conventional,Practice 1,2017-07-07,Practice 2,2017-07-07,Practice 3,2017-07-08,Qualifying,2017-07-08,Race,2017-07-09 12:00:00,False,2017
9,10,UK,Silverstone,,2017-07-16 12:00:00,British Grand Prix,conventional,Practice 1,2017-07-14,Practice 2,2017-07-14,Practice 3,2017-07-15,Qualifying,2017-07-15,Race,2017-07-16 12:00:00,False,2017
10,11,Hungary,Budapest,,2017-07-30 12:00:00,Hungarian Grand Prix,conventional,Practice 1,2017-07-28,Practice 2,2017-07-28,Practice 3,2017-07-29,Qualifying,2017-07-29,Race,2017-07-30 12:00:00,False,2017
11,12,Belgium,Spa,,2017-08-27 12:00:00,Belgian Grand Prix,conventional,Practice 1,2017-08-25,Practice 2,2017-08-25,Practice 3,2017-08-26,Qualifying,2017-08-26,Race,2017-08-27 12:00:00,False,2017
12,13,Italy,Monza,,2017-09-03 12:00:00,Italian Grand Prix,conventional,Practice 1,2017-09-01,Practice 2,2017-09-01,Practice 3,2017-09-02,Qualifying,2017-09-02,Race,2017-09-03 12:00:00,False,2017
13,14,Singapore,Marina Bay,,2017-09-17 12:00:00,Singapore Grand Prix,conventional,Practice 1,2017-09-15,Practice 2,2017-09-15,Practice 3,2017-09-16,Qualifying,2017-09-16,Race,2017-09-17 12:00:00,False,2017
14,15,Malaysia,Kuala Lumpur,,2017-10-01 07:00:00,Malaysian Grand Prix,conventional,Practice 1,2017-09-29,Practice 2,2017-09-29,Practice 3,2017-09-30,Qualifying,2017-09-30,Race,2017-10-01 07:00:00,False,2017
15,16,Japan,Suzuka,,2017-10-08 05:00:00,Japanese Grand Prix,conventional,Practice 1,2017-10-06,Practice 2,2017-10-06,Practice 3,2017-10-07,Qualifying,2017-10-07,Race,2017-10-08 05:00:00,False,2017
16,17,USA,Austin,,2017-10-22 19:00:00,United States Grand Prix,conventional,Practice 1,2017-10-20,Practice 2,2017-10-20,Practice 3,2017-10-21,Qualifying,2017-10-21,Race,2017-10-22 19:00:00,False,2017
17,18,Mexico,Mexico City,,2017-10-29 19:00:00,Mexican Grand Prix,conventional,Practice 1,2017-10-27,Practice 2,2017-10-27,Practice 3,2017-10-28,Qualifying,2017-10-28,Race,2017-10-29 19:00:00,False,2017
18,19,Brazil,São Paulo,,2017-11-12 16:00:00,Brazilian Grand Prix,conventional,Practice 1,2017-11-10,Practice 2,2017-11-10,Practice 3,2017-11-11,Qualifying,2017-11-11,Race,2017-11-12 16:00:00,False,2017
19,20,UAE,Abu Dhabi,,2017-11-26 13:00:00,Abu Dhabi Grand Prix,conventional,Practice 1,2017-11-24,Practice 2,2017-11-24,Practice 3,2017-11-25,Qualifying,2017-11-25,Race,2017-11-26 13:00:00,False,2017
