,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,0,Spain,Montmeló,FORMULA 1 PRE-SEASON TESTING 2020,2020-02-21,Pre-Season Test 1,testing,Practice 1,2020-02-19,Practice 2,2020-02-20,Practice 3,2020-02-21,None,,None,,True,2020
1,0,Spain,Montmeló,FORMULA 1 PRE-SEASON TESTING 2020,2020-02-28,Pre-Season Test 2,testing,Practice 1,2020-02-26,Practice 2,2020-02-27,Practice 3,2020-02-28,None,,None,,True,2020
2,1,Austria,Spielberg,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2020,2020-07-05,Austrian Grand Prix,conventional,Practice 1,2020-07-03,Practice 2,2020-07-03,Practice 3,2020-07-04,Qualifying,2020-07-04,Race,2020-07-05,True,2020
3,2,Austria,Spielberg,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,2020-07-12,Styrian Grand Prix,conventional,Practice 1,2020-07-10,Practice 2,2020-07-10,Practice 3,2020-07-11,Qualifying,2020-07-11,Race,2020-07-12,True,2020
4,3,Hungary,Budapest,FORMULA 1 ARAMCO MAGYAR NAGYDÍJ 2020,2020-07-19,Hungarian Grand Prix,conventional,Practice 1,2020-07-17,Practice 2,2020-07-17,Practice 3,2020-07-18,Qualifying,2020-07-18,Race,2020-07-19,True,2020
5,4,UK,Silverstone,FORMULA 1 PIRELLI BRITISH GRAND PRIX 2020,2020-08-02,British Grand Prix,conventional,Practice 1,2020-07-31,Practice 2,2020-07-31,Practice 3,2020-08-01,Qualifying,2020-08-01,Race,2020-08-02,True,2020
6,5,UK,Silverstone,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,2020-08-09,70th Anniversary Grand Prix,conventional,Practice 1,2020-08-07,Practice 2,2020-08-07,Practice 3,2020-08-08,Qualifying,2020-08-08,Race,2020-08-09,True,2020
7,6,Spain,Montmeló,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2020,2020-08-16,Spanish Grand Prix,conventional,Practice 1,2020-08-14,Practice 2,2020-08-14,Practice 3,2020-08-15,Qualifying,2020-08-15,Race,2020-08-16,True,2020
8,7,Belgium,Spa,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2020,2020-08-30,Belgian Grand Prix,conventional,Practice 1,2020-08-28,Practice 2,2020-08-28,Practice 3,2020-08-29,Qualifying,2020-08-29,Race,2020-08-30,True,2020
9,8,Italy,Monza,FORMULA 1 GRAN PREMIO HEINEKEN D’ITALIA 2020,2020-09-06,Italian Grand Prix,conventional,Practice 1,2020-09-04,Practice 2,2020-09-04,Practice 3,2020-09-05,Qualifying,2020-09-05,Race,2020-09-06,True,2020
10,9,Italy,Mugello,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,2020-09-13,Tuscan Grand Prix,conventional,Practice 1,2020-09-11,Practice 2,2020-09-11,Practice 3,2020-09-12,Qualifying,2020-09-12,Race,2020-09-13,True,2020
11,10,Russia,Sochi,FORMULA 1 VTB RUSSIAN GRAND PRIX 2020,2020-09-27,Russian Grand Prix,conventional,Practice 1,2020-09-25,Practice 2,2020-09-25,Practice 3,2020-09-26,Qualifying,2020-09-26,Race,2020-09-27,True,2020
12,11,Germany,Nürburg,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,2020-10-11,Eifel Grand Prix,conventional,Practice 1,2020-10-09,Practice 2,2020-10-09,Practice 3,2020-10-10,Qualifying,2020-10-10,Race,2020-10-11,True,2020
13,12,Portugal,Portimão,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,2020-10-25,Portuguese Grand Prix,conventional,Practice 1,2020-10-23,Practice 2,2020-10-23,Practice 3,2020-10-24,Qualifying,2020-10-24,Race,2020-10-25,True,2020
14,13,Italy,Imola,FORMULA 1 EMIRATES GRAN PREMIO DELL’EMILIA ROMAGNA 2020,2020-11-01,Emilia Romagna Grand Prix,conventional,Practice 1,2020-10-30,Practice 2,2020-10-30,Practice 3,2020-10-31,Qualifying,2020-10-31,Race,2020-11-01,True,2020
15,14,Turkey,Istanbul,FORMULA 1 DHL TURKISH GRAND PRIX 2020,2020-11-15,Turkish Grand Prix,conventional,Practice 1,2020-11-13,Practice 2,2020-11-13,Practice 3,2020-11-14,Qualifying,2020-11-14,Race,2020-11-15,True,2020
16,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2020,2020-11-29,Bahrain Grand Prix,conventional,Practice 1,2020-11-27,Practice 2,2020-11-27,Practice 3,2020-11-28,Qualifying,2020-11-28,Race,2020-11-29,True,2020
17,16,Bahrain,Sakhir,FORMULA 1 ROLEX SAKHIR GRAND PRIX 2020,2020-12-06,Sakhir Grand Prix,conventional,Practice 1,2020-12-04,Practice 2,2020-12-04,Practice 3,2020-12-05,Qualifying,2020-12-05,Race,2020-12-06,True,2020
18,17,UAE,Abu Dhabi,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2020,2020-12-13,Abu Dhabi Grand Prix,conventional,Practice 1,2020-12-11,Practice 2,2020-12-11,Practice 3,2020-12-12,Qualifying,2020-12-12,Race,2020-12-13,True,2020
