,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,USA,California,,1981-03-15,United States Grand Prix West,conventional,Practice 1,1981-03-13,Practice 2,1981-03-13,Practice 3,1981-03-14,Qualifying,1981-03-14,Race,1981-03-15,False,1981
1,2,Brazil,Rio de Janeiro,,1981-03-29,Brazilian Grand Prix,conventional,Practice 1,1981-03-27,Practice 2,1981-03-27,Practice 3,1981-03-28,Qualifying,1981-03-28,Race,1981-03-29,False,1981
2,3,Argentina,Buenos Aires,,1981-04-12,Argentine Grand Prix,conventional,Practice 1,1981-04-10,Practice 2,1981-04-10,Practice 3,1981-04-11,Qualifying,1981-04-11,Race,1981-04-12,False,1981
3,4,Italy,Imola,,1981-05-03,San Marino Grand Prix,conventional,Practice 1,1981-05-01,Practice 2,1981-05-01,Practice 3,1981-05-02,Qualifying,1981-05-02,Race,1981-05-03,False,1981
4,5,Belgium,Heusden-Zolder,,1981-05-17,Belgian Grand Prix,conventional,Practice 1,1981-05-15,Practice 2,1981-05-15,Practice 3,1981-05-16,Qualifying,1981-05-16,Race,1981-05-17,False,1981
5,6,Monaco,Monte-Carlo,,1981-05-31,Monaco Grand Prix,conventional,Practice 1,1981-05-29,Practice 2,1981-05-29,Practice 3,1981-05-30,Qualifying,1981-05-30,Race,1981-05-31,False,1981
6,7,Spain,Madrid,,1981-06-21,Spanish Grand Prix,conventional,Practice 1,1981-06-19,Practice 2,1981-06-19,Practice 3,1981-06-20,Qualifying,1981-06-20,Race,1981-06-21,False,1981
7,8,France,Dijon,,1981-07-05,French Grand Prix,conventional,Practice 1,1981-07-03,Practice 2,1981-07-03,Practice 3,1981-07-04,Qualifying,1981-07-04,Race,1981-07-05,False,1981
8,9,UK,Silverstone,,1981-07-18,British Grand Prix,conventional,Practice 1,1981-07-16,Practice 2,1981-07-16,Practice 3,1981-07-17,Qualifying,1981-07-17,Race,1981-07-18,False,1981
9,10,Germany,Hockenheim,,1981-08-02,German Grand Prix,conventional,Practice 1,1981-07-31,Practice 2,1981-07-31,Practice 3,1981-08-01,Qualifying,1981-08-01,Race,1981-08-02,False,1981
10,11,Austria,Spielberg,,1981-08-16,Austrian Grand Prix,conventional,Practice 1,1981-08-14,Practice 2,1981-08-14,Practice 3,1981-08-15,Qualifying,1981-08-15,Race,1981-08-16,False,1981
11,12,Netherlands,Zandvoort,,1981-08-30,Dutch Grand Prix,conventional,Practice 1,1981-08-28,Practice 2,1981-08-28,Practice 3,1981-08-29,Qualifying,1981-08-29,Race,1981-08-30,False,1981
12,13,Italy,Monza,,1981-09-13,Italian Grand Prix,conventional,Practice 1,1981-09-11,Practice 2,1981-09-11,Practice 3,1981-09-12,Qualifying,1981-09-12,Race,1981-09-13,False,1981
13,14,Canada,Montreal,,1981-09-27,Canadian Grand Prix,conventional,Practice 1,1981-09-25,Practice 2,1981-09-25,Practice 3,1981-09-26,Qualifying,1981-09-26,Race,1981-09-27,False,1981
14,15,USA,Nevada,,1981-10-17,Caesars Palace Grand Prix,conventional,Practice 1,1981-10-15,Practice 2,1981-10-15,Practice 3,1981-10-16,Qualifying,1981-10-16,Race,1981-10-17,False,1981
