,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,South Africa,Midrand,,1993-03-14,South African Grand Prix,conventional,Practice 1,1993-03-12,Practice 2,1993-03-12,Practice 3,1993-03-13,Qualifying,1993-03-13,Race,1993-03-14,False,1993
1,2,Brazil,São Paulo,,1993-03-28,Brazilian Grand Prix,conventional,Practice 1,1993-03-26,Practice 2,1993-03-26,Practice 3,1993-03-27,Qualifying,1993-03-27,Race,1993-03-28,False,1993
2,3,UK,Castle Donington,,1993-04-11,European Grand Prix,conventional,Practice 1,1993-04-09,Practice 2,1993-04-09,Practice 3,1993-04-10,Qualifying,1993-04-10,Race,1993-04-11,False,1993
3,4,Italy,Imola,,1993-04-25,San Marino Grand Prix,conventional,Practice 1,1993-04-23,Practice 2,1993-04-23,Practice 3,1993-04-24,Qualifying,1993-04-24,Race,1993-04-25,False,1993
4,5,Spain,Montmeló,,1993-05-09,Spanish Grand Prix,conventional,Practice 1,1993-05-07,Practice 2,1993-05-07,Practice 3,1993-05-08,Qualifying,1993-05-08,Race,1993-05-09,False,1993
5,6,Monaco,Monte-Carlo,,1993-05-23,Monaco Grand Prix,conventional,Practice 1,1993-05-21,Practice 2,1993-05-21,Practice 3,1993-05-22,Qualifying,1993-05-22,Race,1993-05-23,False,1993
6,7,Canada,Montreal,,1993-06-13,Canadian Grand Prix,conventional,Practice 1,1993-06-11,Practice 2,1993-06-11,Practice 3,1993-06-12,Qualifying,1993-06-12,Race,1993-06-13,False,1993
7,8,France,Magny Cours,,1993-07-04,French Grand Prix,conventional,Practice 1,1993-07-02,Practice 2,1993-07-02,Practice 3,1993-07-03,Qualifying,1993-07-03,Race,1993-07-04,False,1993
8,9,UK,Silverstone,,1993-07-11,British Grand Prix,conventional,Practice 1,1993-07-09,Practice 2,1993-07-09,Practice 3,1993-07-10,Qualifying,1993-07-10,Race,1993-07-11,False,1993
9,10,Germany,Hockenheim,,1993-07-25,German Grand Prix,conventional,Practice 1,1993-07-23,Practice 2,1993-07-23,Practice 3,1993-07-24,Qualifying,1993-07-24,Race,1993-07-25,False,1993
10,11,Hungary,Budapest,,1993-08-15,Hungarian Grand Prix,conventional,Practice 1,1993-08-13,Practice 2,1993-08-13,Practice 3,1993-08-14,Qualifying,1993-08-14,Race,1993-08-15,False,1993
11,12,Belgium,Spa,,1993-08-29,Belgian Grand Prix,conventional,Practice 1,1993-08-27,Practice 2,1993-08-27,Practice 3,1993-08-28,Qualifying,1993-08-28,Race,1993-08-29,False,1993
12,13,Italy,Monza,,1993-09-12,Italian Grand Prix,conventional,Practice 1,1993-09-10,Practice 2,1993-09-10,Practice 3,1993-09-11,Qualifying,1993-09-11,Race,1993-09-12,False,1993
13,14,Portugal,Estoril,,1993-09-26,Portuguese Grand Prix,conventional,Practice 1,1993-09-24,Practice 2,1993-09-24,Practice 3,1993-09-25,Qualifying,1993-09-25,Race,1993-09-26,False,1993
14,15,Japan,Suzuka,,1993-10-24,Japanese Grand Prix,conventional,Practice 1,1993-10-22,Practice 2,1993-10-22,Practice 3,1993-10-23,Qualifying,1993-10-23,Race,1993-10-24,False,1993
15,16,Australia,Adelaide,,1993-11-07,Australian Grand Prix,conventional,Practice 1,1993-11-05,Practice 2,1993-11-05,Practice 3,1993-11-06,Qualifying,1993-11-06,Race,1993-11-07,False,1993
