,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Brazil,Rio de Janeiro,,1987-04-12,Brazilian Grand Prix,conventional,Practice 1,1987-04-10,Practice 2,1987-04-10,Practice 3,1987-04-11,Qualifying,1987-04-11,Race,1987-04-12,False,1987
1,2,Italy,Imola,,1987-05-03,San Marino Grand Prix,conventional,Practice 1,1987-05-01,Practice 2,1987-05-01,Practice 3,1987-05-02,Qualifying,1987-05-02,Race,1987-05-03,False,1987
2,3,Belgium,Spa,,1987-05-17,Belgian Grand Prix,conventional,Practice 1,1987-05-15,Practice 2,1987-05-15,Practice 3,1987-05-16,Qualifying,1987-05-16,Race,1987-05-17,False,1987
3,4,Monaco,Monte-Carlo,,1987-05-31,Monaco Grand Prix,conventional,Practice 1,1987-05-29,Practice 2,1987-05-29,Practice 3,1987-05-30,Qualifying,1987-05-30,Race,1987-05-31,False,1987
4,5,USA,Detroit,,1987-06-21,Detroit Grand Prix,conventional,Practice 1,1987-06-19,Practice 2,1987-06-19,Practice 3,1987-06-20,Qualifying,1987-06-20,Race,1987-06-21,False,1987
5,6,France,Le Castellet,,1987-07-05,French Grand Prix,conventional,Practice 1,1987-07-03,Practice 2,1987-07-03,Practice 3,1987-07-04,Qualifying,1987-07-04,Race,1987-07-05,False,1987
6,7,UK,Silverstone,,1987-07-12,British Grand Prix,conventional,Practice 1,1987-07-10,Practice 2,1987-07-10,Practice 3,1987-07-11,Qualifying,1987-07-11,Race,1987-07-12,False,1987
7,8,Germany,Hockenheim,,1987-07-26,German Grand Prix,conventional,Practice 1,1987-07-24,Practice 2,1987-07-24,Practice 3,1987-07-25,Qualifying,1987-07-25,Race,1987-07-26,False,1987
8,9,Hungary,Budapest,,1987-08-09,Hungarian Grand Prix,conventional,Practice 1,1987-08-07,Practice 2,1987-08-07,Practice 3,1987-08-08,Qualifying,1987-08-08,Race,1987-08-09,False,1987
9,10,Austria,Spielberg,,1987-08-16,Austrian Grand Prix,conventional,Practice 1,1987-08-14,Practice 2,1987-08-14,Practice 3,1987-08-15,Qualifying,1987-08-15,Race,1987-08-16,False,1987
10,11,Italy,Monza,,1987-09-06,Italian Grand Prix,conventional,Practice 1,1987-09-04,Practice 2,1987-09-04,Practice 3,1987-09-05,Qualifying,1987-09-05,Race,1987-09-06,False,1987
11,12,Portugal,Estoril,,1987-09-20,Portuguese Grand Prix,conventional,Practice 1,1987-09-18,Practice 2,1987-09-18,Practice 3,1987-09-19,Qualifying,1987-09-19,Race,1987-09-20,False,1987
12,13,Spain,Jerez de la Frontera,,1987-09-27,Spanish Grand Prix,conventional,Practice 1,1987-09-25,Practice 2,1987-09-25,Practice 3,1987-09-26,Qualifying,1987-09-26,Race,1987-09-27,False,1987
13,14,Mexico,Mexico City,,1987-10-18,Mexican Grand Prix,conventional,Practice 1,1987-10-16,Practice 2,1987-10-16,Practice 3,1987-10-17,Qualifying,1987-10-17,Race,1987-10-18,False,1987
14,15,Japan,Suzuka,,1987-11-01,Japanese Grand Prix,conventional,Practice 1,1987-10-30,Practice 2,1987-10-30,Practice 3,1987-10-31,Qualifying,1987-10-31,Race,1987-11-01,False,1987
15,16,Australia,Adelaide,,1987-11-15,Australian Grand Prix,conventional,Practice 1,1987-11-13,Practice 2,1987-11-13,Practice 3,1987-11-14,Qualifying,1987-11-14,Race,1987-11-15,False,1987
