,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Brazil,Rio de Janeiro,,1983-03-13,Brazilian Grand Prix,conventional,Practice 1,1983-03-11,Practice 2,1983-03-11,Practice 3,1983-03-12,Qualifying,1983-03-12,Race,1983-03-13,False,1983
1,2,USA,California,,1983-03-27,United States Grand Prix West,conventional,Practice 1,1983-03-25,Practice 2,1983-03-25,Practice 3,1983-03-26,Qualifying,1983-03-26,Race,1983-03-27,False,1983
2,3,France,Le Castellet,,1983-04-17,French Grand Prix,conventional,Practice 1,1983-04-15,Practice 2,1983-04-15,Practice 3,1983-04-16,Qualifying,1983-04-16,Race,1983-04-17,False,1983
3,4,Italy,Imola,,1983-05-01,San Marino Grand Prix,conventional,Practice 1,1983-04-29,Practice 2,1983-04-29,Practice 3,1983-04-30,Qualifying,1983-04-30,Race,1983-05-01,False,1983
4,5,Monaco,Monte-Carlo,,1983-05-15,Monaco Grand Prix,conventional,Practice 1,1983-05-13,Practice 2,1983-05-13,Practice 3,1983-05-14,Qualifying,1983-05-14,Race,1983-05-15,False,1983
5,6,Belgium,Spa,,1983-05-22,Belgian Grand Prix,conventional,Practice 1,1983-05-20,Practice 2,1983-05-20,Practice 3,1983-05-21,Qualifying,1983-05-21,Race,1983-05-22,False,1983
6,7,USA,Detroit,,1983-06-05,Detroit Grand Prix,conventional,Practice 1,1983-06-03,Practice 2,1983-06-03,Practice 3,1983-06-04,Qualifying,1983-06-04,Race,1983-06-05,False,1983
7,8,Canada,Montreal,,1983-06-12,Canadian Grand Prix,conventional,Practice 1,1983-06-10,Practice 2,1983-06-10,Practice 3,1983-06-11,Qualifying,1983-06-11,Race,1983-06-12,False,1983
8,9,UK,Silverstone,,1983-07-16,British Grand Prix,conventional,Practice 1,1983-07-14,Practice 2,1983-07-14,Practice 3,1983-07-15,Qualifying,1983-07-15,Race,1983-07-16,False,1983
9,10,Germany,Hockenheim,,1983-08-07,German Grand Prix,conventional,Practice 1,1983-08-05,Practice 2,1983-08-05,Practice 3,1983-08-06,Qualifying,1983-08-06,Race,1983-08-07,False,1983
10,11,Austria,Spielberg,,1983-08-14,Austrian Grand Prix,conventional,Practice 1,1983-08-12,Practice 2,1983-08-12,Practice 3,1983-08-13,Qualifying,1983-08-13,Race,1983-08-14,False,1983
11,12,Netherlands,Zandvoort,,1983-08-28,Dutch Grand Prix,conventional,Practice 1,1983-08-26,Practice 2,1983-08-26,Practice 3,1983-08-27,Qualifying,1983-08-27,Race,1983-08-28,False,1983
12,13,Italy,Monza,,1983-09-11,Italian Grand Prix,conventional,Practice 1,1983-09-09,Practice 2,1983-09-09,Practice 3,1983-09-10,Qualifying,1983-09-10,Race,1983-09-11,False,1983
13,14,UK,Kent,,1983-09-25,European Grand Prix,conventional,Practice 1,1983-09-23,Practice 2,1983-09-23,Practice 3,1983-09-24,Qualifying,1983-09-24,Race,1983-09-25,False,1983
14,15,South Africa,Midrand,,1983-10-15,South African Grand Prix,conventional,Practice 1,1983-10-13,Practice 2,1983-10-13,Practice 3,1983-10-14,Qualifying,1983-10-14,Race,1983-10-15,False,1983
