,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Monaco,Monte-Carlo,,1966-05-22,Monaco Grand Prix,conventional,Practice 1,1966-05-20,Practice 2,1966-05-20,Practice 3,1966-05-21,Qualifying,1966-05-21,Race,1966-05-22,False,1966
1,2,Belgium,Spa,,1966-06-12,Belgian Grand Prix,conventional,Practice 1,1966-06-10,Practice 2,1966-06-10,Practice 3,1966-06-11,Qualifying,1966-06-11,Race,1966-06-12,False,1966
2,3,France,Reims,,1966-07-03,French Grand Prix,conventional,Practice 1,1966-07-01,Practice 2,1966-07-01,Practice 3,1966-07-02,Qualifying,1966-07-02,Race,1966-07-03,False,1966
3,4,UK,Kent,,1966-07-16,British Grand Prix,conventional,Practice 1,1966-07-14,Practice 2,1966-07-14,Practice 3,1966-07-15,Qualifying,1966-07-15,Race,1966-07-16,False,1966
4,5,Netherlands,Zandvoort,,1966-07-24,Dutch Grand Prix,conventional,Practice 1,1966-07-22,Practice 2,1966-07-22,Practice 3,1966-07-23,Qualifying,1966-07-23,Race,1966-07-24,False,1966
5,6,Germany,Nürburg,,1966-08-07,German Grand Prix,conventional,Practice 1,1966-08-05,Practice 2,1966-08-05,Practice 3,1966-08-06,Qualifying,1966-08-06,Race,1966-08-07,False,1966
6,7,Italy,Monza,,1966-09-04,Italian Grand Prix,conventional,Practice 1,1966-09-02,Practice 2,1966-09-02,Practice 3,1966-09-03,Qualifying,1966-09-03,Race,1966-09-04,False,1966
7,8,USA,New York State,,1966-10-02,United States Grand Prix,conventional,Practice 1,1966-09-30,Practice 2,1966-09-30,Practice 3,1966-10-01,Qualifying,1966-10-01,Race,1966-10-02,False,1966
8,9,Mexico,Mexico City,,1966-10-23,Mexican Grand Prix,conventional,Practice 1,1966-10-21,Practice 2,1966-10-21,Practice 3,1966-10-22,Qualifying,1966-10-22,Race,1966-10-23,False,1966
