,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,1997-03-09,Australian Grand Prix,conventional,Practice 1,1997-03-07,Practice 2,1997-03-07,Practice 3,1997-03-08,Qualifying,1997-03-08,Race,1997-03-09,False,1997
1,2,Brazil,São Paulo,,1997-03-30,Brazilian Grand Prix,conventional,Practice 1,1997-03-28,Practice 2,1997-03-28,Practice 3,1997-03-29,Qualifying,1997-03-29,Race,1997-03-30,False,1997
2,3,Argentina,Buenos Aires,,1997-04-13,Argentine Grand Prix,conventional,Practice 1,1997-04-11,Practice 2,1997-04-11,Practice 3,1997-04-12,Qualifying,1997-04-12,Race,1997-04-13,False,1997
3,4,Italy,Imola,,1997-04-27,San Marino Grand Prix,conventional,Practice 1,1997-04-25,Practice 2,1997-04-25,Practice 3,1997-04-26,Qualifying,1997-04-26,Race,1997-04-27,False,1997
4,5,Monaco,Monte-Carlo,,1997-05-11,Monaco Grand Prix,conventional,Practice 1,1997-05-09,Practice 2,1997-05-09,Practice 3,1997-05-10,Qualifying,1997-05-10,Race,1997-05-11,False,1997
5,6,Spain,Montmeló,,1997-05-25,Spanish Grand Prix,conventional,Practice 1,1997-05-23,Practice 2,1997-05-23,Practice 3,1997-05-24,Qualifying,1997-05-24,Race,1997-05-25,False,1997
6,7,Canada,Montreal,,1997-06-15,Canadian Grand Prix,conventional,Practice 1,1997-06-13,Practice 2,1997-06-13,Practice 3,1997-06-14,Qualifying,1997-06-14,Race,1997-06-15,False,1997
7,8,France,Magny Cours,,1997-06-29,French Grand Prix,conventional,Practice 1,1997-06-27,Practice 2,1997-06-27,Practice 3,1997-06-28,Qualifying,1997-06-28,Race,1997-06-29,False,1997
8,9,UK,Silverstone,,1997-07-13,British Grand Prix,conventional,Practice 1,1997-07-11,Practice 2,1997-07-11,Practice 3,1997-07-12,Qualifying,1997-07-12,Race,1997-07-13,False,1997
9,10,Germany,Hockenheim,,1997-07-27,German Grand Prix,conventional,Practice 1,1997-07-25,Practice 2,1997-07-25,Practice 3,1997-07-26,Qualifying,1997-07-26,Race,1997-07-27,False,1997
10,11,Hungary,Budapest,,1997-08-10,Hungarian Grand Prix,conventional,Practice 1,1997-08-08,Practice 2,1997-08-08,Practice 3,1997-08-09,Qualifying,1997-08-09,Race,1997-08-10,False,1997
11,12,Belgium,Spa,,1997-08-24,Belgian Grand Prix,conventional,Practice 1,1997-08-22,Practice 2,1997-08-22,Practice 3,1997-08-23,Qualifying,1997-08-23,Race,1997-08-24,False,1997
12,13,Italy,Monza,,1997-09-07,Italian Grand Prix,conventional,Practice 1,1997-09-05,Practice 2,1997-09-05,Practice 3,1997-09-06,Qualifying,1997-09-06,Race,1997-09-07,False,1997
13,14,Austria,Spielberg,,1997-09-21,Austrian Grand Prix,conventional,Practice 1,1997-09-19,Practice 2,1997-09-19,Practice 3,1997-09-20,Qualifying,1997-09-20,Race,1997-09-21,False,1997
14,15,Germany,Nürburg,,1997-09-28,Luxembourg Grand Prix,conventional,Practice 1,1997-09-26,Practice 2,1997-09-26,Practice 3,1997-09-27,Qualifying,1997-09-27,Race,1997-09-28,False,1997
15,16,Japan,Suzuka,,1997-10-12,Japanese Grand Prix,conventional,Practice 1,1997-10-10,Practice 2,1997-10-10,Practice 3,1997-10-11,Qualifying,1997-10-11,Race,1997-10-12,False,1997
16,17,Spain,Jerez de la Frontera,,1997-10-26,European Grand Prix,conventional,Practice 1,1997-10-24,Practice 2,1997-10-24,Practice 3,1997-10-25,Qualifying,1997-10-25,Race,1997-10-26,False,1997
