,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,2013-03-17 06:00:00,Australian Grand Prix,conventional,Practice 1,2013-03-15,Practice 2,2013-03-15,Practice 3,2013-03-16,Qualifying,2013-03-16,Race,2013-03-17 06:00:00,False,2013
1,2,Malaysia,Kuala Lumpur,,2013-03-24 08:00:00,Malaysian Grand Prix,conventional,Practice 1,2013-03-22,Practice 2,2013-03-22,Practice 3,2013-03-23,Qualifying,2013-03-23,Race,2013-03-24 08:00:00,False,2013
2,3,China,Shanghai,,2013-04-14 07:00:00,Chinese Grand Prix,conventional,Practice 1,2013-04-12,Practice 2,2013-04-12,Practice 3,2013-04-13,Qualifying,2013-04-13,Race,2013-04-14 07:00:00,False,2013
3,4,Bahrain,Sakhir,,2013-04-21 12:00:00,Bahrain Grand Prix,conventional,Practice 1,2013-04-19,Practice 2,2013-04-19,Practice 3,2013-04-20,Qualifying,2013-04-20,Race,2013-04-21 12:00:00,False,2013
4,5,Spain,Montmeló,,2013-05-12 12:00:00,Spanish Grand Prix,conventional,Practice 1,2013-05-10,Practice 2,2013-05-10,Practice 3,2013-05-11,Qualifying,2013-05-11,Race,2013-05-12 12:00:00,False,2013
5,6,Monaco,Monte-Carlo,,2013-05-26 12:00:00,Monaco Grand Prix,conventional,Practice 1,2013-05-24,Practice 2,2013-05-24,Practice 3,2013-05-25,Qualifying,2013-05-25,Race,2013-05-26 12:00:00,False,2013
6,7,Canada,Montreal,,2013-06-09 18:00:00,Canadian Grand Prix,conventional,Practice 1,2013-06-07,Practice 2,2013-06-07,Practice 3,2013-06-08,Qualifying,2013-06-08,Race,2013-06-09 18:00:00,False,2013
7,8,UK,Silverstone,,2013-06-30 12:00:00,British Grand Prix,conventional,Practice 1,2013-06-28,Practice 2,2013-06-28,Practice 3,2013-06-29,Qualifying,2013-06-29,Race,2013-06-30 12:00:00,False,2013
8,9,Germany,Nürburg,,2013-07-07 12:00:00,German Grand Prix,conventional,Practice 1,2013-07-05,Practice 2,2013-07-05,Practice 3,2013-07-06,Qualifying,2013-07-06,Race,2013-07-07 12:00:00,False,2013
9,10,Hungary,Budapest,,2013-07-28 12:00:00,Hungarian Grand Prix,conventional,Practice 1,2013-07-26,Practice 2,2013-07-26,Practice 3,2013-07-27,Qualifying,2013-07-27,Race,2013-07-28 12:00:00,False,2013
10,11,Belgium,Spa,,2013-08-25 12:00:00,Belgian Grand Prix,conventional,Practice 1,2013-08-23,Practice 2,2013-08-23,Practice 3,2013-08-24,Qualifying,2013-08-24,Race,2013-08-25 12:00:00,False,2013
11,12,Italy,Monza,,2013-09-08 12:00:00,Italian Grand Prix,conventional,Practice 1,2013-09-06,Practice 2,2013-09-06,Practice 3,2013-09-07,Qualifying,2013-09-07,Race,2013-09-08 12:00:00,False,2013
12,13,Singapore,Marina Bay,,2013-09-22 12:00:00,Singapore Grand Prix,conventional,Practice 1,2013-09-20,Practice 2,2013-09-20,Practice 3,2013-09-21,Qualifying,2013-09-21,Race,2013-09-22 12:00:00,False,2013
13,14,Korea,Yeongam County,,2013-10-06 06:00:00,Korean Grand Prix,conventional,Practice 1,2013-10-04,Practice 2,2013-10-04,Practice 3,2013-10-05,Qualifying,2013-10-05,Race,2013-10-06 06:00:00,False,2013
14,15,Japan,Suzuka,,2013-10-13 06:00:00,Japanese Grand Prix,conventional,Practice 1,2013-10-11,Practice 2,2013-10-11,Practice 3,2013-10-12,Qualifying,2013-10-12,Race,2013-10-13 06:00:00,False,2013
15,16,India,Uttar Pradesh,,2013-10-27 09:30:00,Indian Grand Prix,conventional,Practice 1,2013-10-25,Practice 2,2013-10-25,Practice 3,2013-10-26,Qualifying,2013-10-26,Race,2013-10-27 09:30:00,False,2013
16,17,UAE,Abu Dhabi,,2013-11-03 13:00:00,Abu Dhabi Grand Prix,conventional,Practice 1,2013-11-01,Practice 2,2013-11-01,Practice 3,2013-11-02,Qualifying,2013-11-02,Race,2013-11-03 13:00:00,False,2013
17,18,USA,Austin,,2013-11-17 19:00:00,United States Grand Prix,conventional,Practice 1,2013-11-15,Practice 2,2013-11-15,Practice 3,2013-11-16,Qualifying,2013-11-16,Race,2013-11-17 19:00:00,False,2013
18,19,Brazil,São Paulo,,2013-11-24 16:00:00,Brazilian Grand Prix,conventional,Practice 1,2013-11-22,Practice 2,2013-11-22,Practice 3,2013-11-23,Qualifying,2013-11-23,Race,2013-11-24 16:00:00,False,2013
