,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Netherlands,Zandvoort,,1962-05-20,Dutch Grand Prix,conventional,Practice 1,1962-05-18,Practice 2,1962-05-18,Practice 3,1962-05-19,Qualifying,1962-05-19,Race,1962-05-20,False,1962
1,2,Monaco,Monte-Carlo,,1962-06-03,Monaco Grand Prix,conventional,Practice 1,1962-06-01,Practice 2,1962-06-01,Practice 3,1962-06-02,Qualifying,1962-06-02,Race,1962-06-03,False,1962
2,3,Belgium,Spa,,1962-06-17,Belgian Grand Prix,conventional,Practice 1,1962-06-15,Practice 2,1962-06-15,Practice 3,1962-06-16,Qualifying,1962-06-16,Race,1962-06-17,False,1962
3,4,France,Rouen,,1962-07-08,French Grand Prix,conventional,Practice 1,1962-07-06,Practice 2,1962-07-06,Practice 3,1962-07-07,Qualifying,1962-07-07,Race,1962-07-08,False,1962
4,5,UK,Liverpool,,1962-07-21,British Grand Prix,conventional,Practice 1,1962-07-19,Practice 2,1962-07-19,Practice 3,1962-07-20,Qualifying,1962-07-20,Race,1962-07-21,False,1962
5,6,Germany,Nürburg,,1962-08-05,German Grand Prix,conventional,Practice 1,1962-08-03,Practice 2,1962-08-03,Practice 3,1962-08-04,Qualifying,1962-08-04,Race,1962-08-05,False,1962
6,7,Italy,Monza,,1962-09-16,Italian Grand Prix,conventional,Practice 1,1962-09-14,Practice 2,1962-09-14,Practice 3,1962-09-15,Qualifying,1962-09-15,Race,1962-09-16,False,1962
7,8,USA,New York State,,1962-10-07,United States Grand Prix,conventional,Practice 1,1962-10-05,Practice 2,1962-10-05,Practice 3,1962-10-06,Qualifying,1962-10-06,Race,1962-10-07,False,1962
8,9,South Africa,Eastern Cape Province,,1962-12-29,South African Grand Prix,conventional,Practice 1,1962-12-27,Practice 2,1962-12-27,Practice 3,1962-12-28,Qualifying,1962-12-28,Race,1962-12-29,False,1962
