,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Argentina,Buenos Aires,,1973-01-28,Argentine Grand Prix,conventional,Practice 1,1973-01-26,Practice 2,1973-01-26,Practice 3,1973-01-27,Qualifying,1973-01-27,Race,1973-01-28,False,1973
1,2,Brazil,São Paulo,,1973-02-11,Brazilian Grand Prix,conventional,Practice 1,1973-02-09,Practice 2,1973-02-09,Practice 3,1973-02-10,Qualifying,1973-02-10,Race,1973-02-11,False,1973
2,3,South Africa,Midrand,,1973-03-03,South African Grand Prix,conventional,Practice 1,1973-03-01,Practice 2,1973-03-01,Practice 3,1973-03-02,Qualifying,1973-03-02,Race,1973-03-03,False,1973
3,4,Spain,Barcelona,,1973-04-29,Spanish Grand Prix,conventional,Practice 1,1973-04-27,Practice 2,1973-04-27,Practice 3,1973-04-28,Qualifying,1973-04-28,Race,1973-04-29,False,1973
4,5,Belgium,Heusden-Zolder,,1973-05-20,Belgian Grand Prix,conventional,Practice 1,1973-05-18,Practice 2,1973-05-18,Practice 3,1973-05-19,Qualifying,1973-05-19,Race,1973-05-20,False,1973
5,6,Monaco,Monte-Carlo,,1973-06-03,Monaco Grand Prix,conventional,Practice 1,1973-06-01,Practice 2,1973-06-01,Practice 3,1973-06-02,Qualifying,1973-06-02,Race,1973-06-03,False,1973
6,7,Sweden,Anderstorp,,1973-06-17,Swedish Grand Prix,conventional,Practice 1,1973-06-15,Practice 2,1973-06-15,Practice 3,1973-06-16,Qualifying,1973-06-16,Race,1973-06-17,False,1973
7,8,France,Le Castellet,,1973-07-01,French Grand Prix,conventional,Practice 1,1973-06-29,Practice 2,1973-06-29,Practice 3,1973-06-30,Qualifying,1973-06-30,Race,1973-07-01,False,1973
8,9,UK,Silverstone,,1973-07-14,British Grand Prix,conventional,Practice 1,1973-07-12,Practice 2,1973-07-12,Practice 3,1973-07-13,Qualifying,1973-07-13,Race,1973-07-14,False,1973
9,10,Netherlands,Zandvoort,,1973-07-29,Dutch Grand Prix,conventional,Practice 1,1973-07-27,Practice 2,1973-07-27,Practice 3,1973-07-28,Qualifying,1973-07-28,Race,1973-07-29,False,1973
10,11,Germany,Nürburg,,1973-08-05,German Grand Prix,conventional,Practice 1,1973-08-03,Practice 2,1973-08-03,Practice 3,1973-08-04,Qualifying,1973-08-04,Race,1973-08-05,False,1973
11,12,Austria,Spielberg,,1973-08-19,Austrian Grand Prix,conventional,Practice 1,1973-08-17,Practice 2,1973-08-17,Practice 3,1973-08-18,Qualifying,1973-08-18,Race,1973-08-19,False,1973
12,13,Italy,Monza,,1973-09-09,Italian Grand Prix,conventional,Practice 1,1973-09-07,Practice 2,1973-09-07,Practice 3,1973-09-08,Qualifying,1973-09-08,Race,1973-09-09,False,1973
13,14,Canada,Ontario,,1973-09-23,Canadian Grand Prix,conventional,Practice 1,1973-09-21,Practice 2,1973-09-21,Practice 3,1973-09-22,Qualifying,1973-09-22,Race,1973-09-23,False,1973
14,15,USA,New York State,,1973-10-07,United States Grand Prix,conventional,Practice 1,1973-10-05,Practice 2,1973-10-05,Practice 3,1973-10-06,Qualifying,1973-10-06,Race,1973-10-07,False,1973
