,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Brazil,Rio de Janeiro,,1989-03-26,Brazilian Grand Prix,conventional,Practice 1,1989-03-24,Practice 2,1989-03-24,Practice 3,1989-03-25,Qualifying,1989-03-25,Race,1989-03-26,False,1989
1,2,Italy,Imola,,1989-04-23,San Marino Grand Prix,conventional,Practice 1,1989-04-21,Practice 2,1989-04-21,Practice 3,1989-04-22,Qualifying,1989-04-22,Race,1989-04-23,False,1989
2,3,Monaco,Monte-Carlo,,1989-05-07,Monaco Grand Prix,conventional,Practice 1,1989-05-05,Practice 2,1989-05-05,Practice 3,1989-05-06,Qualifying,1989-05-06,Race,1989-05-07,False,1989
3,4,Mexico,Mexico City,,1989-05-28,Mexican Grand Prix,conventional,Practice 1,1989-05-26,Practice 2,1989-05-26,Practice 3,1989-05-27,Qualifying,1989-05-27,Race,1989-05-28,False,1989
4,5,USA,Phoenix,,1989-06-04,United States Grand Prix,conventional,Practice 1,1989-06-02,Practice 2,1989-06-02,Practice 3,1989-06-03,Qualifying,1989-06-03,Race,1989-06-04,False,1989
5,6,Canada,Montreal,,1989-06-18,Canadian Grand Prix,conventional,Practice 1,1989-06-16,Practice 2,1989-06-16,Practice 3,1989-06-17,Qualifying,1989-06-17,Race,1989-06-18,False,1989
6,7,France,Le Castellet,,1989-07-09,French Grand Prix,conventional,Practice 1,1989-07-07,Practice 2,1989-07-07,Practice 3,1989-07-08,Qualifying,1989-07-08,Race,1989-07-09,False,1989
7,8,UK,Silverstone,,1989-07-16,British Grand Prix,conventional,Practice 1,1989-07-14,Practice 2,1989-07-14,Practice 3,1989-07-15,Qualifying,1989-07-15,Race,1989-07-16,False,1989
8,9,Germany,Hockenheim,,1989-07-30,German Grand Prix,conventional,Practice 1,1989-07-28,Practice 2,1989-07-28,Practice 3,1989-07-29,Qualifying,1989-07-29,Race,1989-07-30,False,1989
9,10,Hungary,Budapest,,1989-08-13,Hungarian Grand Prix,conventional,Practice 1,1989-08-11,Practice 2,1989-08-11,Practice 3,1989-08-12,Qualifying,1989-08-12,Race,1989-08-13,False,1989
10,11,Belgium,Spa,,1989-08-27,Belgian Grand Prix,conventional,Practice 1,1989-08-25,Practice 2,1989-08-25,Practice 3,1989-08-26,Qualifying,1989-08-26,Race,1989-08-27,False,1989
11,12,Italy,Monza,,1989-09-10,Italian Grand Prix,conventional,Practice 1,1989-09-08,Practice 2,1989-09-08,Practice 3,1989-09-09,Qualifying,1989-09-09,Race,1989-09-10,False,1989
12,13,Portugal,Estoril,,1989-09-24,Portuguese Grand Prix,conventional,Practice 1,1989-09-22,Practice 2,1989-09-22,Practice 3,1989-09-23,Qualifying,1989-09-23,Race,1989-09-24,False,1989
13,14,Spain,Jerez de la Frontera,,1989-10-01,Spanish Grand Prix,conventional,Practice 1,1989-09-29,Practice 2,1989-09-29,Practice 3,1989-09-30,Qualifying,1989-09-30,Race,1989-10-01,False,1989
14,15,Japan,Suzuka,,1989-10-22,Japanese Grand Prix,conventional,Practice 1,1989-10-20,Practice 2,1989-10-20,Practice 3,1989-10-21,Qualifying,1989-10-21,Race,1989-10-22,False,1989
15,16,Australia,Adelaide,,1989-11-05,Australian Grand Prix,conventional,Practice 1,1989-11-03,Practice 2,1989-11-03,Practice 3,1989-11-04,Qualifying,1989-11-04,Race,1989-11-05,False,1989
