,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,UK,Silverstone,,1950-05-13,British Grand Prix,conventional,Practice 1,1950-05-11,Practice 2,1950-05-11,Practice 3,1950-05-12,Qualifying,1950-05-12,Race,1950-05-13,False,1950
1,2,Monaco,Monte-Carlo,,1950-05-21,Monaco Grand Prix,conventional,Practice 1,1950-05-19,Practice 2,1950-05-19,Practice 3,1950-05-20,Qualifying,1950-05-20,Race,1950-05-21,False,1950
2,3,USA,Indianapolis,,1950-05-30,Indianapolis 500,conventional,Practice 1,1950-05-28,Practice 2,1950-05-28,Practice 3,1950-05-29,Qualifying,1950-05-29,Race,1950-05-30,False,1950
3,4,Switzerland,Bern,,1950-06-04,Swiss Grand Prix,conventional,Practice 1,1950-06-02,Practice 2,1950-06-02,Practice 3,1950-06-03,Qualifying,1950-06-03,Race,1950-06-04,False,1950
4,5,Belgium,Spa,,1950-06-18,Belgian Grand Prix,conventional,Practice 1,1950-06-16,Practice 2,1950-06-16,Practice 3,1950-06-17,Qualifying,1950-06-17,Race,1950-06-18,False,1950
5,6,France,Reims,,1950-07-02,French Grand Prix,conventional,Practice 1,1950-06-30,Practice 2,1950-06-30,Practice 3,1950-07-01,Qualifying,1950-07-01,Race,1950-07-02,False,1950
6,7,Italy,Monza,,1950-09-03,Italian Grand Prix,conventional,Practice 1,1950-09-01,Practice 2,1950-09-01,Practice 3,1950-09-02,Qualifying,1950-09-02,Race,1950-09-03,False,1950
