,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,2015-03-15 05:00:00,Australian Grand Prix,conventional,Practice 1,2015-03-13,Practice 2,2015-03-13,Practice 3,2015-03-14,Qualifying,2015-03-14,Race,2015-03-15 05:00:00,False,2015
1,2,Malaysia,Kuala Lumpur,,2015-03-29 07:00:00,Malaysian Grand Prix,conventional,Practice 1,2015-03-27,Practice 2,2015-03-27,Practice 3,2015-03-28,Qualifying,2015-03-28,Race,2015-03-29 07:00:00,False,2015
2,3,China,Shanghai,,2015-04-12 06:00:00,Chinese Grand Prix,conventional,Practice 1,2015-04-10,Practice 2,2015-04-10,Practice 3,2015-04-11,Qualifying,2015-04-11,Race,2015-04-12 06:00:00,False,2015
3,4,Bahrain,Sakhir,,2015-04-19 15:00:00,Bahrain Grand Prix,conventional,Practice 1,2015-04-17,Practice 2,2015-04-17,Practice 3,2015-04-18,Qualifying,2015-04-18,Race,2015-04-19 15:00:00,False,2015
4,5,Spain,Montmeló,,2015-05-10 12:00:00,Spanish Grand Prix,conventional,Practice 1,2015-05-08,Practice 2,2015-05-08,Practice 3,2015-05-09,Qualifying,2015-05-09,Race,2015-05-10 12:00:00,False,2015
5,6,Monaco,Monte-Carlo,,2015-05-24 12:00:00,Monaco Grand Prix,conventional,Practice 1,2015-05-22,Practice 2,2015-05-22,Practice 3,2015-05-23,Qualifying,2015-05-23,Race,2015-05-24 12:00:00,False,2015
6,7,Canada,Montreal,,2015-06-07 18:00:00,Canadian Grand Prix,conventional,Practice 1,2015-06-05,Practice 2,2015-06-05,Practice 3,2015-06-06,Qualifying,2015-06-06,Race,2015-06-07 18:00:00,False,2015
7,8,Austria,Spielberg,,2015-06-21 12:00:00,Austrian Grand Prix,conventional,Practice 1,2015-06-19,Practice 2,2015-06-19,Practice 3,2015-06-20,Qualifying,2015-06-20,Race,2015-06-21 12:00:00,False,2015
8,9,UK,Silverstone,,2015-07-05 12:00:00,British Grand Prix,conventional,Practice 1,2015-07-03,Practice 2,2015-07-03,Practice 3,2015-07-04,Qualifying,2015-07-04,Race,2015-07-05 12:00:00,False,2015
9,10,Hungary,Budapest,,2015-07-26 12:00:00,Hungarian Grand Prix,conventional,Practice 1,2015-07-24,Practice 2,2015-07-24,Practice 3,2015-07-25,Qualifying,2015-07-25,Race,2015-07-26 12:00:00,False,2015
10,11,Belgium,Spa,,2015-08-23 12:00:00,Belgian Grand Prix,conventional,Practice 1,2015-08-21,Practice 2,2015-08-21,Practice 3,2015-08-22,Qualifying,2015-08-22,Race,2015-08-23 12:00:00,False,2015
11,12,Italy,Monza,,2015-09-06 12:00:00,Italian Grand Prix,conventional,Practice 1,2015-09-04,Practice 2,2015-09-04,Practice 3,2015-09-05,Qualifying,2015-09-05,Race,2015-09-06 12:00:00,False,2015
12,13,Singapore,Marina Bay,,2015-09-20 12:00:00,Singapore Grand Prix,conventional,Practice 1,2015-09-18,Practice 2,2015-09-18,Practice 3,2015-09-19,Qualifying,2015-09-19,Race,2015-09-20 12:00:00,False,2015
13,14,Japan,Suzuka,,2015-09-27 05:00:00,Japanese Grand Prix,conventional,Practice 1,2015-09-25,Practice 2,2015-09-25,Practice 3,2015-09-26,Qualifying,2015-09-26,Race,2015-09-27 05:00:00,False,2015
14,15,Russia,Sochi,,2015-10-11 11:00:00,Russian Grand Prix,conventional,Practice 1,2015-10-09,Practice 2,2015-10-09,Practice 3,2015-10-10,Qualifying,2015-10-10,Race,2015-10-11 11:00:00,False,2015
15,16,USA,Austin,,2015-10-25 19:00:00,United States Grand Prix,conventional,Practice 1,2015-10-23,Practice 2,2015-10-23,Practice 3,2015-10-24,Qualifying,2015-10-24,Race,2015-10-25 19:00:00,False,2015
16,17,Mexico,Mexico City,,2015-11-01 19:00:00,Mexican Grand Prix,conventional,Practice 1,2015-10-30,Practice 2,2015-10-30,Practice 3,2015-10-31,Qualifying,2015-10-31,Race,2015-11-01 19:00:00,False,2015
17,18,Brazil,São Paulo,,2015-11-15 16:00:00,Brazilian Grand Prix,conventional,Practice 1,2015-11-13,Practice 2,2015-11-13,Practice 3,2015-11-14,Qualifying,2015-11-14,Race,2015-11-15 16:00:00,False,2015
18,19,UAE,Abu Dhabi,,2015-11-29 13:00:00,Abu Dhabi Grand Prix,conventional,Practice 1,2015-11-27,Practice 2,2015-11-27,Practice 3,2015-11-28,Qualifying,2015-11-28,Race,2015-11-29 13:00:00,False,2015
