,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,2018-03-25,Australian Grand Prix,conventional,Practice 1,2018-03-23,Practice 2,2018-03-23,Practice 3,2018-03-24,Qualifying,2018-03-24,Race,2018-03-25,True,2018
1,2,Bahrain,Sakhir,FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,2018-04-08,Bahrain Grand Prix,conventional,Practice 1,2018-04-06,Practice 2,2018-04-06,Practice 3,2018-04-07,Qualifying,2018-04-07,Race,2018-04-08,True,2018
2,3,China,Shanghai,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,2018-04-15,Chinese Grand Prix,conventional,Practice 1,2018-04-13,Practice 2,2018-04-13,Practice 3,2018-04-14,Qualifying,2018-04-14,Race,2018-04-15,True,2018
3,4,Azerbaijan,Baku,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,2018-04-29,Azerbaijan Grand Prix,conventional,Practice 1,2018-04-27,Practice 2,2018-04-27,Practice 3,2018-04-28,Qualifying,2018-04-28,Race,2018-04-29,True,2018
4,5,Spain,Montmeló,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,2018-05-13,Spanish Grand Prix,conventional,Practice 1,2018-05-11,Practice 2,2018-05-11,Practice 3,2018-05-12,Qualifying,2018-05-12,Race,2018-05-13,True,2018
5,6,Monaco,Monte-Carlo,FORMULA 1 GRAND PRIX DE MONACO 2018,2018-05-27,Monaco Grand Prix,conventional,Practice 1,2018-05-24,Practice 2,2018-05-24,Practice 3,2018-05-26,Qualifying,2018-05-26,Race,2018-05-27,True,2018
6,7,Canada,Montreal,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,2018-06-10,Canadian Grand Prix,conventional,Practice 1,2018-06-08,Practice 2,2018-06-08,Practice 3,2018-06-09,Qualifying,2018-06-09,Race,2018-06-10,True,2018
7,8,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,2018-06-24,French Grand Prix,conventional,Practice 1,2018-06-22,Practice 2,2018-06-22,Practice 3,2018-06-23,Qualifying,2018-06-23,Race,2018-06-24,True,2018
8,9,Austria,Spielberg,FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,2018-07-01,Austrian Grand Prix,conventional,Practice 1,2018-06-29,Practice 2,2018-06-29,Practice 3,2018-06-30,Qualifying,2018-06-30,Race,2018-07-01,True,2018
9,10,UK,Silverstone,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,2018-07-08,British Grand Prix,conventional,Practice 1,2018-07-06,Practice 2,2018-07-06,Practice 3,2018-07-07,Qualifying,2018-07-07,Race,2018-07-08,True,2018
10,11,Germany,Hockenheim,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND 2018,2018-07-22,German Grand Prix,conventional,Practice 1,2018-07-20,Practice 2,2018-07-20,Practice 3,2018-07-21,Qualifying,2018-07-21,Race,2018-07-22,True,2018
11,12,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,2018-07-29,Hungarian Grand Prix,conventional,Practice 1,2018-07-27,Practice 2,2018-07-27,Practice 3,2018-07-28,Qualifying,2018-07-28,Race,2018-07-29,True,2018
