,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,,2000-03-12,Australian Grand Prix,conventional,Practice 1,2000-03-10,Practice 2,2000-03-10,Practice 3,2000-03-11,Qualifying,2000-03-11,Race,2000-03-12,False,2000
1,2,Brazil,São Paulo,,2000-03-26,Brazilian Grand Prix,conventional,Practice 1,2000-03-24,Practice 2,2000-03-24,Practice 3,2000-03-25,Qualifying,2000-03-25,Race,2000-03-26,False,2000
2,3,Italy,Imola,,2000-04-09,San Marino Grand Prix,conventional,Practice 1,2000-04-07,Practice 2,2000-04-07,Practice 3,2000-04-08,Qualifying,2000-04-08,Race,2000-04-09,False,2000
3,4,UK,Silverstone,,2000-04-23,British Grand Prix,conventional,Practice 1,2000-04-21,Practice 2,2000-04-21,Practice 3,2000-04-22,Qualifying,2000-04-22,Race,2000-04-23,False,2000
4,5,Spain,Montmeló,,2000-05-07,Spanish Grand Prix,conventional,Practice 1,2000-05-05,Practice 2,2000-05-05,Practice 3,2000-05-06,Qualifying,2000-05-06,Race,2000-05-07,False,2000
5,6,Germany,Nürburg,,2000-05-21,European Grand Prix,conventional,Practice 1,2000-05-19,Practice 2,2000-05-19,Practice 3,2000-05-20,Qualifying,2000-05-20,Race,2000-05-21,False,2000
6,7,Monaco,Monte-Carlo,,2000-06-04,Monaco Grand Prix,conventional,Practice 1,2000-06-02,Practice 2,2000-06-02,Practice 3,2000-06-03,Qualifying,2000-06-03,Race,2000-06-04,False,2000
7,8,Canada,Montreal,,2000-06-18,Canadian Grand Prix,conventional,Practice 1,2000-06-16,Practice 2,2000-06-16,Practice 3,2000-06-17,Qualifying,2000-06-17,Race,2000-06-18,False,2000
8,9,France,Magny Cours,,2000-07-02,French Grand Prix,conventional,Practice 1,2000-06-30,Practice 2,2000-06-30,Practice 3,2000-07-01,Qualifying,2000-07-01,Race,2000-07-02,False,2000
9,10,Austria,Spielberg,,2000-07-16,Austrian Grand Prix,conventional,Practice 1,2000-07-14,Practice 2,2000-07-14,Practice 3,2000-07-15,Qualifying,2000-07-15,Race,2000-07-16,False,2000
10,11,Germany,Hockenheim,,2000-07-30,German Grand Prix,conventional,Practice 1,2000-07-28,Practice 2,2000-07-28,Practice 3,2000-07-29,Qualifying,2000-07-29,Race,2000-07-30,False,2000
11,12,Hungary,Budapest,,2000-08-13,Hungarian Grand Prix,conventional,Practice 1,2000-08-11,Practice 2,2000-08-11,Practice 3,2000-08-12,Qualifying,2000-08-12,Race,2000-08-13,False,2000
12,13,Belgium,Spa,,2000-08-27,Belgian Grand Prix,conventional,Practice 1,2000-08-25,Practice 2,2000-08-25,Practice 3,2000-08-26,Qualifying,2000-08-26,Race,2000-08-27,False,2000
13,14,Italy,Monza,,2000-09-10,Italian Grand Prix,conventional,Practice 1,2000-09-08,Practice 2,2000-09-08,Practice 3,2000-09-09,Qualifying,2000-09-09,Race,2000-09-10,False,2000
14,15,USA,Indianapolis,,2000-09-24,United States Grand Prix,conventional,Practice 1,2000-09-22,Practice 2,2000-09-22,Practice 3,2000-09-23,Qualifying,2000-09-23,Race,2000-09-24,False,2000
15,16,Japan,Suzuka,,2000-10-08,Japanese Grand Prix,conventional,Practice 1,2000-10-06,Practice 2,2000-10-06,Practice 3,2000-10-07,Qualifying,2000-10-07,Race,2000-10-08,False,2000
16,17,Malaysia,Kuala Lumpur,,2000-10-22,Malaysian Grand Prix,conventional,Practice 1,2000-10-20,Practice 2,2000-10-20,Practice 3,2000-10-21,Qualifying,2000-10-21,Race,2000-10-22,False,2000
